tiempo_ms
148.40
109.52
99.23
139.22
113.62
123.93
100.09
143.51
117.21
108.58
127.12
136.82
134.08
120.81
118.62
1120.60
95.76
131.12
90.26
103.31
326.82
93.59
101.34
103.16
99.22
101.83
94.85
108.93
111.44
142.15
